1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
0,0,0,0,0,0.47,0.75,2.58,2.2,5.43,6.5,11.6,4.8
1,2,3,4,5,6,7,8,9,10,11,12,13
