"ID"	"type"	"date"	"location"	"loc "	"code"	"group size"	"num.inf"	"prop.inf"	"zswab"	"status"	"logZE"	"sd"	"SVL"	"tail"	"body.con"	"temp"	"yr.tmax"	"yr.ppt"	"rain"	"NearestAL"	"AL"	"NumAL"	"cover"	"length"	"width"	"area"	"density"	"N (lat)"	"W (long)"	"Notes"			
"MC300"	"B. luciae"	"12/20/14"	"Hastings Natural Reserve"	"OT"	3	1	0	0	0	0	0		3.48	3.52	1.0114942529	13	22.68	25.83	8.84	"NA"	"N"	0	"branch"	83	8	664	0.0015	36.38928	-121.54759	"in same pile as 301"			
"MC301"	"B. luciae"	"12/20/14"	"Hastings Natural Reserve"	"OT"	3	1	0	0	0	0	0		3.68	5.55	1.5081521739	14.7	22.68	25.83	8.84	"NA"	"N"	0	"log"	366	25	9150	0.0001	36.38928	-121.54759	"in same pile as 300. Very large fallen tree, one part on ground. Inside log. 4' from 300"			
"MC302"	"B. luciae"	"12/20/14"	"Hastings Natural Reserve"	"OT"	3	1	0	0	0	0	0		3.47	4.54	1.3083573487	14.7	22.68	25.83	8.84	"NA"	"N"	0	"log"	130	12	1560	0.0006	36.38858	-121.54941	"under log"			
"MC303"	"B. luciae"	"12/21/14"	"Hastings Natural Reserve"	"OT"	3	1	0	0	0	0	0		3.13	4.53	1.447284345	13.6	23.73	24.45	8.79	"NA"	"N"	0	"log"	90	20	1800	0.0006	36.4661	-121.71293				
"MC55"	"B. luciae"	"5/3/14"	"Landels-Hill Big Creek Reserve"	"OT"	3	1	1	1	0.744	1	0.24		2.89	3.9	1.3494809689	13.8	20.06	52.5	0.53	"NA"	"N"	0	"log"	50	10	500	0.002	36.2805	-121.71822				
"MC54"	"B. luciae"	"5/3/14"	"Landels-Hill Big Creek Reserve"	"OT"	3	1	1	1	2.752	1	0.57	1.7062210514	2.8	3.1	1.1071428571	15	20.06	52.5	0.53	"NA"	"N"	0	"rock"	27	25	675	0.0015	36.2805	-121.71822				
"MC325"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.04	3.83	1.2598684211	14.8	16.98	38.97	0.56	0.0002816026	"N"	0	"on log under bark"	158	35	5530	0.0002	36.609	-121.93091	"130 cm from 323-324"			
"MC326"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.49	4.73	1.3553008596	15.3	16.98	38.97	0.56	0.0004716991	"N"	0	"on log under bark"	167	40	6680	0.0001	36.6088	-121.93087				
"MC327"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.69	5.96	1.6151761518	16.5	16.98	38.97	0.56	0.0004716991	"N"	0	"on log under bark"	167	40	6680	0.0001	36.6088	-121.93087	"208cm from 326"			
"MC330"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.18	4.16	1.3081761006	15.1	16.98	38.97	0.56	"2.99999999953e-05"	"Y"	1	"log"	208	15	3120	0.0003	36.6093	-121.93083	"adjacent log, 48 cm from 327-8"			
"MC331"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.63	2.72	1.0342205323	16.1	16.98	38.97	0.56	"5.00000000017e-05"	"Y"	1	"bark piece"	23	12	276	0.0036	36.60927	-121.93088	"7m from 332"			
"MC341"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	1	1	0.5	0	0	0		3.48	4.87	1.3994252874	15.6	16.98	38.97	0.56	"?"	"N"	0	"bark"	60	14	840	0.0024	36.6082	-121.93118				
"MC345"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.36	3.59	1.068452381	15.6	16.98	38.97	0.56	"?"	"N"	0	"log"	240	23	5520	0.0002	36.60785	-121.93118				
"MC348"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.38	4.38	1.2958579882	15.1	16.98	38.97	0.56	"?"	"N"	0	"log"	63	10	630	0.0016	36.60833	-121.93122				
"MC349"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.14	2.14	1	15	16.98	38.97	0.56	"?"	"N"	0	"branch"	54	7	378	0.0026	36.60808	-121.93123				
"MC356"	"B. luciae"	"1/18/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.25	4.18	1.2861538462	14.8	16.98	38.97	0.56	"NA"	"N"	0	"log"	244	25	6100	0.0002	36.60877	-121.93135				
