,Decade,Negatives,Positives,n,prev,log.zscore
1,1920,1,0,1,0,0
2,1930,30,0,30,0,0
3,1940,53,0,53,0,0
9,1950,0,0,0,0,0
4,1960,40,0,40,0,0
5,1970,1258,34,1292,2.63157894736842,1.08994280100000
6,1980,13,1,14,7.14285714285714,1.43775056300000
7,1990,46,19,65,29.2307692307692,1.0452235050000
8,2000,23,4,27,14.8148148148148,0.6974317620000
10,2010,0,0,0,0,0
