Zscore,longitude,latitude,year,group
4010.88,-118.4583957,36.65046822,2006,positive
3993.28,-118.4252046,36.81091124,2006,positive
3939.61,-118.4252046,36.81091124,2006,positive
3779.55,-118.4612537,36.63903757,2006,positive
3753.46,-118.4534131,36.64944199,2006,positive
3685.79,-118.4235152,36.81222305,2006,positive
3486.54,-118.4235152,36.81222305,2006,positive
3450.15,-118.4553895,36.65016068,2006,positive
3366.36,-118.4252046,36.81091124,2006,positive
3346.46,-118.4232941,36.81456708,2006,positive
3319.08,-118.4530614,36.64612971,2006,positive
3233.5,-118.4598532,36.64703823,2006,positive
3232.81,-118.4237168,36.8155169,2006,positive
3134.52,-118.4252046,36.81091124,2006,positive
3124.93,-118.4598532,36.64703823,2006,positive
3073.8,-118.4235152,36.81222305,2006,positive
2799.65,-118.4610758,36.6419294,2006,positive
2781.86,-118.4232941,36.81456708,2006,positive
2762.28,-118.4232941,36.81456708,2006,positive
2760.78,-118.4248318,36.81292848,2006,positive
2649.14,-118.4237168,36.8155169,2006,positive
2644.62,-118.4232941,36.81456708,2006,positive
2619.51,-118.4252046,36.81091124,2006,positive
2597.59,-118.4248318,36.81292848,2006,positive
2589.16,-118.4553895,36.65016068,2006,positive
2550.4,-118.4232941,36.81456708,2006,positive
2522.01,-118.4252046,36.81091124,2006,positive
2520.17,-118.4235152,36.81222305,2006,positive
2482.2,-118.4534131,36.64944199,2006,positive
2440.66,-118.4232941,36.81456708,2006,positive
2424.96,-118.4598532,36.64703823,2006,positive
2385.89,-118.4252046,36.81091124,2006,positive
2353.1,-118.4598532,36.64703823,2006,positive
2344.96,-118.4237168,36.8155169,2006,positive
2338.43,-118.4252046,36.81091124,2006,positive
2282.06,-118.4252046,36.81091124,2006,positive
2271.36,-118.4530614,36.64612971,2006,positive
2240.16,-118.4598532,36.64703823,2006,positive
2235.47,-118.4583957,36.65046822,2006,positive
2231.12,-118.4534131,36.64944199,2006,positive
2222.75,-118.4255988,36.81570643,2006,positive
2191.33,-118.4583957,36.65046822,2006,positive
2186.16,-118.4598532,36.64703823,2006,positive
2156,-118.4530614,36.64612971,2006,positive
2154.68,-118.4534131,36.64944199,2006,positive
2142.96,-118.4534131,36.64944199,2006,positive
2141.86,-118.4598532,36.64703823,2006,positive
2137.51,-118.4252046,36.81091124,2006,positive
2123.21,-118.4553895,36.65016068,2006,positive
2122.28,-118.4598532,36.64703823,2006,positive
2118.12,-118.4252046,36.81091124,2006,positive
2079.68,-118.4252046,36.81091124,2006,positive
2071.42,-118.4598532,36.64703823,2006,positive
1995.03,-118.4598532,36.64703823,2006,positive
1942.4,-118.4534131,36.64944199,2006,positive
1890.51,-118.4252046,36.81091124,2006,positive
1867.61,-118.4598532,36.64703823,2006,positive
1845.34,-118.4252046,36.81091124,2006,positive
1845.04,-118.4534131,36.64944199,2006,positive
1841.59,-118.4235152,36.81222305,2006,positive
1813,-118.4598532,36.64703823,2006,positive
1697,-118.4252046,36.81091124,2006,positive
1598.8,-118.4168401,36.81332175,2006,positive
1584.9,-118.4252046,36.81091124,2006,positive
1554.08,-118.4232941,36.81456708,2006,positive
1531.7,-118.4553895,36.65016068,2006,positive
1530.63,-118.4583957,36.65046822,2006,positive
1522.25,-118.4534131,36.64944199,2006,positive
1484.98,-118.4176384,36.81466472,2006,positive
1484.94,-118.4553895,36.65016068,2006,positive
1477.14,-118.4583957,36.65046822,2006,positive
1457.87,-118.4583957,36.65046822,2006,positive
1443.5,-118.4232941,36.81456708,2006,positive
1427.56,-118.4583957,36.65046822,2006,positive
1410.632,-118.5251564,37.07939204,2006,positive
1381.3,-118.4553895,36.65016068,2006,positive
1364.47,-118.4232941,36.81456708,2006,positive
1361.56,-118.4287367,36.82718624,2006,positive
1353.4,-118.4252046,36.81091124,2006,positive
1338.72,-118.4553895,36.65016068,2006,positive
1299.57,-118.4530614,36.64612971,2006,positive
1267.16,-118.4176384,36.81466472,2006,positive
1256.37,-118.4252046,36.81091124,2006,positive
1241.85,-118.4598532,36.64703823,2006,positive
1221.85,-118.4598532,36.64703823,2006,positive
1213.55,-118.4598532,36.64703823,2006,positive
