year,0,1,s.prev,y.prev
1910,1,0,0.000,0.000
1920,0,0,0.000,0.000
1930,4,0,0.000,0.000
1940,1,0,0.000,0.000
1950,15,0,0.000,0.000
1960,0,0,0.000,0.000
1970,9,0,0.000,0.462
1980,0,0,0.000,0.000
1990,19,3,0.136,0.000
2000,1889,1584,0.456,0.320
